,Wavelength,Intensity
0,188.47,-7.46
1,188.927,-7.46
2,189.385,-84.7
3,189.842,-108.1
4,190.3,-96.4
5,190.757,-98.74
6,191.215,-80.02
7,191.672,-14.48
8,192.129,-21.5
9,192.586,-75.34
10,193.044,1.9
11,193.501,-119.81
12,193.958,1.9
13,194.415,18.29
14,194.872,79.14
15,195.329,25.31
16,195.787,109.57
17,196.244,58.07
18,196.7,51.05
19,197.157,161.06
20,197.614,135.31
21,198.071,168.08
22,198.528,193.83
23,198.985,540.22
24,199.441,498.1
25,199.898,544.91
26,200.355,523.84
27,200.812,509.8
28,201.268,523.84
29,201.725,507.46
30,202.181,572.99
31,202.638,575.33
32,203.094,549.59
33,203.551,622.14
34,204.007,582.35
35,204.463,554.27
36,204.92,624.48
37,205.376,612.78
38,205.832,615.12
39,206.288,540.22
40,206.744,601.08
41,207.201,659.59
42,207.657,605.76
43,208.113,594.06
44,208.569,668.95
45,209.025,601.08
46,209.481,601.08
47,209.937,668.95
48,210.392,558.95
49,210.848,643.21
50,211.304,638.53
51,211.76,647.89
52,212.215,633.85
53,212.671,547.25
54,213.127,622.14
55,213.582,549.59
56,214.038,577.67
57,214.494,603.42
58,214.949,554.27
59,215.404,549.59
60,215.86,584.7
61,216.315,636.19
62,216.771,587.04
63,217.226,563.63
64,217.681,551.93
65,218.136,577.67
66,218.592,533.2
67,219.047,565.97
68,219.502,530.86
69,219.957,523.84
70,220.412,612.78
71,220.867,603.42
72,221.322,568.31
73,221.777,584.7
74,222.232,523.84
75,222.687,521.5
76,223.142,605.76
77,223.596,626.82
78,224.051,638.53
79,224.506,514.48
80,224.96,594.06
81,225.415,598.74
82,225.87,617.46
83,226.324,572.99
84,226.779,589.38
85,227.233,587.04
86,227.688,561.29
87,228.142,589.38
88,228.597,582.35
89,229.051,584.7
90,229.505,570.65
91,229.959,608.1
92,230.414,533.2
93,230.868,572.99
94,231.322,624.48
95,231.776,580.01
96,232.23,537.88
97,232.684,673.64
98,233.138,544.91
99,233.592,608.1
100,234.046,594.06
101,234.5,624.48
102,234.954,594.06
103,235.408,629.17
104,235.861,589.38
105,236.315,661.93
106,236.769,589.38
107,237.222,530.86
108,237.676,675.98
109,238.13,533.2
110,238.583,622.14
111,239.037,622.14
112,239.49,673.64
113,239.944,601.08
114,240.397,678.32
115,240.85,563.63
116,241.304,652.57
117,241.757,626.82
118,242.21,652.57
119,242.663,512.14
120,243.117,610.44
121,243.57,650.23
122,244.023,612.78
123,244.476,594.06
124,244.929,659.59
125,245.382,615.12
126,245.835,558.95
127,246.288,638.53
128,246.741,610.44
129,247.193,615.12
130,247.646,687.68
131,248.099,570.65
132,248.552,601.08
133,249.004,624.48
134,249.457,626.82
135,249.909,633.85
136,250.362,589.38
137,250.814,638.53
138,251.267,668.95
139,251.719,640.87
140,252.172,612.78
