550.73442  	0.00030  	 250  	  	   	   	150 772.1118  	-  	168 924.6500  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 2  		  	L4498
551.1176   	0.0020   	 30  	  	   	   	149 657.0392  	-  	167 796.9475  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		  	L3469
551.1485   	0.0020   	 150  	  	   	   	149 657.0392  	-  	167 795.8966  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 3  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 3  		  	L3469
552.063    	0.002    	 30  	  	   	   	150 858.5079  	-  	168 967.3526  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 1  		  	L7441
553.36788  	0.00004  	 750  	  	   	   	150 858.5079  	-  	168 924.6500  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 2  		  	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
553.86510  	0.00004  	 500  	  	   	   	150 917.4307  	-  	168 967.3526  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 1  		  	L3451
555.90978  	0.00030  	 350  	  	   	   	149 824.2215  	-  	167 807.7649  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		  	L4498
556.24416  	0.00030  	 1500  	1.43e+05  	 6.1e-02  	  C 	149 824.2215  	-  	167 796.9475  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
556.27662  	0.00004  	 5000  	9.88e+05  	 5.88e-01  	  C+ 	149 824.2215  	-  	167 795.8966  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 3  		T6976 	L3451
556.30531  	0.00030  	 750  	1.02e+05  	 4.32e-02  	  C 	149 824.2215  	-  	167 794.9709  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 2  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
557.60394  	0.00030  	 350  	  	   	   	151 038.4524  	-  	168 967.3526  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 1  		  	L4498
558.5905   	0.0020   	 50  	  	   	   	152 970.7328  	-  	170 867.923   	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)6d  	 2[3/2]°  	 1  		  	L3469
558.93472  	0.00030  	 500  	  	   	   	151 038.4524  	-  	168 924.6500  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)6s  	 2[3/2]°  	 2  		  	L4498
559.115    	0.002    	 80  	  	   	   	152 970.7328  	-  	170 851.3105  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°3/2)6d  	 2[1/2]°  	 1  		  	L7441
565.25664  	0.00004  	 750  	7.37e+05  	 1.97e-01  	  C+ 	150 121.5922  	-  	167 807.7649  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		T6976 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
565.60258  	0.00030  	 750  	3.66e+05  	 1.64e-01  	  C+ 	150 121.5922  	-  	167 796.9475  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
565.66588  	0.00004  	 5000  	2.95e+06  	 1.32e+00  	  C+ 	150 121.5922  	-  	167 794.9709  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 2  		T6976 	L3451
